month,text,lang,order
Enero,1/1/,es-PA,1
Febrero,1/2/,es-PA,2
Marzo,1/3/,es-PA,3
Abril,1/4/,es-PA,4
Mayo,1/5/,es-PA,5
Junio,1/6/,es-PA,6
Julio,1/7/,es-PA,7
Agosto,1/8/,es-PA,8
Septiembre,1/9/,es-PA,9
Octubre,1/10/,es-PA,10
Noviembre,1/11/,es-PA,11
Diciembre,1/12/,es-PA,12
Jan,1/1/,en-US,1
Feb,1/2/,en-US,2
Mar,1/3/,en-US,3
Abr,1/4/,en-US,4
May,1/5/,en-US,5
Jun,1/6/,en-US,6
Jul,1/7/,en-US,7
Aug,1/8/,en-US,8
Sep,1/9/,en-US,9
Oct,1/10/,en-US,10
Nov,1/11/,en-US,11
Dic,1/12/,en-US,12